route_id,service_id,trip_id,trip_headsign,direction_id
"10-10-I-j22-1","T0+3w","1000.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0+3v","1002.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0+3w","1012.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T2","102.T2.10-10-I-j22-1.3.R","Bissierstr.","1"
"10-10-I-j22-1","T0","1024.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0+3w","103.T0.10-10-I-j22-1.3.R","Bissierstr.","1"
"10-10-I-j22-1","T0","1036.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0","1048.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0","1060.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0","1072.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0+3s","1078.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T2","108.T2.10-10-I-j22-1.3.R","Bissierstr.","1"
"10-10-I-j22-1","T3","108.T3.10-10-I-j22-1.3.R","Bissierstr.","1"
"10-10-I-j22-1","T0+3u","1084.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T0+s","109.T0.10-10-I-j22-1.3.R","Bissierstr.","1"
"10-10-I-j22-1","T0","1096.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T0+3s","1102.T0.10-10-I-j22-1.6.H","Paduaallee","0"
"10-10-I-j22-1","T0+3u","1108.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T0+3s","1109.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T0+3s","1110.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T0+3s","1111.T0.10-10-I-j22-1.9.H","Paduaallee","0"
"10-10-I-j22-1","T2","114.T2.10-10-I-j22-1.3.R","Bissierstr.","1"
