service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,1,1,1,1,1,0,0,20211212,20221210
T0+0S,1,1,1,1,0,0,0,20211212,20221210
T0+1B,1,1,1,1,1,0,0,20211212,20221210
T0+1D,1,1,1,1,1,0,0,20211212,20221210
T0+1I,1,1,1,1,1,0,0,20211212,20221210
T0+2H,0,1,1,1,0,0,0,20211212,20221210
T0+2S,0,0,0,0,1,0,0,20211212,20221210
T0+3A,1,1,1,1,1,0,0,20211212,20221210
T0+3C,1,1,1,1,1,0,0,20211212,20221210
T0+3D,1,1,1,1,1,0,0,20211212,20221210
T0+3g,0,0,0,0,1,0,0,20211212,20221210
T0+3R,1,1,1,1,1,0,0,20211212,20221210
T0+3s,0,0,0,0,1,0,0,20211212,20221210
T0+3S,1,1,1,1,1,0,0,20211212,20221210
T0+3T,0,0,0,0,1,0,0,20211212,20221210
T0+3u,1,1,1,1,1,0,0,20211212,20221210
T0+3U,1,1,1,1,1,0,0,20211212,20221210
T0+3v,0,0,0,0,1,0,0,20211212,20221210
T0+3w,1,1,1,1,1,0,0,20211212,20221210
T0+3x,1,1,1,1,1,0,0,20211212,20221210
T0+3y,1,1,1,1,1,0,0,20211212,20221210
T0+4B,1,1,1,1,1,0,0,20211212,20221210
T0+4E,1,1,1,1,1,0,0,20211212,20221210
T0+4F,1,1,1,1,1,0,0,20211212,20221210
T0+4J,1,1,1,1,1,0,0,20211212,20221210
T0+4K,0,0,0,0,1,0,0,20211212,20221210
T0+4N,1,1,1,1,1,0,0,20211212,20221210
T0+4P,1,1,1,1,1,0,0,20211212,20221210
T0+4Q,1,1,1,1,1,0,0,20211212,20221210
T0+4R,1,1,1,1,1,0,0,20211212,20221210
T0+4T,1,1,1,1,1,0,0,20211212,20221210
T0+4u,1,1,1,1,1,0,0,20211212,20221210
T0+4W,0,1,1,1,1,0,0,20211212,20221210
T0+4X,1,1,1,1,1,0,0,20211212,20221210
T0+4Y,1,1,1,1,1,0,0,20211212,20221210
T0+4Z,1,1,1,1,1,0,0,20211212,20221210
T0+5A,1,1,1,1,1,0,0,20211212,20221210
T0+5E,1,1,1,1,1,0,0,20211212,20221210
T0+5F,1,1,1,1,1,0,0,20211212,20221210
T0+5J,1,1,1,1,1,0,0,20211212,20221210
T0+5K,1,1,1,1,1,0,0,20211212,20221210
T0+5N,1,1,1,1,1,0,0,20211212,20221210
T0+5R,1,1,1,1,1,0,0,20211212,20221210
T0+6A,1,1,1,1,1,0,0,20211212,20221210
T0+6C,1,1,1,1,1,0,0,20211212,20221210
T0+6D,1,1,1,1,1,0,0,20211212,20221210
T0+6L,1,1,1,1,1,0,0,20211212,20221210
T0+6N,1,1,1,1,1,0,0,20211212,20221210
T0+6O,1,1,1,1,0,0,0,20211212,20221210
T0+6P,1,1,1,1,1,0,0,20211212,20221210
T0+6Q,1,1,1,1,1,0,0,20211212,20221210
T0+6S,0,0,0,0,1,0,0,20211212,20221210
T0+6V,1,1,1,1,1,0,0,20211212,20221210
T0+7a,1,1,1,1,1,0,0,20211212,20221210
T0+7A,1,1,1,1,0,0,0,20211212,20221210
T0+7b,1,1,1,1,1,0,0,20211212,20221210
T0+7B,0,0,0,0,1,0,0,20211212,20221210
T0+7c,1,1,1,1,1,0,0,20211212,20221210
T0+7E,1,1,1,1,0,0,0,20211212,20221210
T0+7F,0,0,1,0,1,0,0,20211212,20221210
T0+7G,0,0,1,0,1,0,0,20211212,20221210
T0+7K,1,1,1,1,1,0,0,20211212,20221210
T0+7L,0,0,0,0,1,0,0,20211212,20221210
T0+7N,0,0,0,0,1,0,0,20211212,20221210
T0+7O,1,1,1,1,1,0,0,20211212,20221210
T0+7R,1,1,1,1,0,0,0,20211212,20221210
T0+7S,0,0,0,0,1,0,0,20211212,20221210
T0+7U,1,1,1,1,0,0,0,20211212,20221210
T0+8A,1,1,1,1,0,0,0,20211212,20221210
T0+8C,0,0,0,0,1,0,0,20211212,20221210
T0+8J,1,1,1,1,1,0,0,20211212,20221210
T0+9O,1,1,1,1,1,0,0,20211212,20221210
T0+9v,0,0,0,0,1,0,0,20211212,20221210
T0+s,1,1,1,1,1,0,0,20211212,20221210
T0+sf,1,1,1,1,1,0,0,20211212,20221210
T2,0,0,0,0,0,1,0,20211212,20221210
T2+0A,0,0,0,0,0,1,0,20211212,20221210
T2+0J,0,0,0,0,0,1,0,20211212,20221210
T2+1O,0,0,0,0,0,1,0,20211212,20221210
T2+2E,0,0,0,0,0,1,0,20211212,20221210
T2+2V,0,0,0,0,0,1,0,20211212,20221210
T2+3P,0,0,0,0,0,1,0,20211212,20221210
T2+3Z,0,0,0,0,0,1,0,20211212,20221210
T2+4G,0,0,0,0,0,1,0,20211212,20221210
T2+4I,0,0,0,0,0,1,0,20211212,20221210
T2+5D,0,0,0,0,0,1,0,20211212,20221210
T2+5G,0,0,0,0,0,1,0,20211212,20221210
T2+5H,0,0,0,0,0,1,0,20211212,20221210
T2+5Q,0,0,0,0,0,1,0,20211212,20221210
T2+5S,0,0,0,0,0,1,0,20211212,20221210
T2+5T,0,0,0,0,0,1,0,20211212,20221210
T2+5U,0,0,0,0,0,1,0,20211212,20221210
T2+5V,0,0,0,0,0,1,0,20211212,20221210
T2+5X,0,0,0,0,0,1,0,20211212,20221210
T2+6K,0,0,0,0,0,1,0,20211212,20221210
T2+6l,0,0,0,0,0,1,0,20211212,20221210
T2+7V,0,0,0,0,0,1,0,20211212,20221210
T2+8E,0,0,0,0,0,1,0,20211212,20221210
T2+8F,0,0,0,0,0,1,0,20211212,20221210
T2+8M,0,0,0,0,0,1,0,20211212,20221210
T2+8Y,0,0,0,0,0,1,0,20211212,20221210
T2+9i,0,0,0,0,0,1,0,20211212,20221210
T2+9k,0,0,0,0,0,1,0,20211212,20221210
T2+9n,0,0,0,0,0,1,0,20211212,20221210
T3,0,0,0,0,0,0,1,20211212,20221210
T3+0V,0,0,0,0,0,0,1,20211212,20221210
T3+1P,0,0,0,0,0,0,1,20211212,20221210
T3+1U,1,0,0,0,1,0,0,20211212,20221210
T3+2K,0,0,0,0,0,0,1,20211212,20221210
T3+2R,0,0,0,0,0,0,1,20211212,20221210
T3+2Z,0,0,0,0,0,0,1,20211212,20221210
T3+3B,0,0,0,0,0,0,1,20211212,20221210
T3+3F,0,0,0,0,0,0,1,20211212,20221210
T3+3X,0,0,0,0,0,0,1,20211212,20221210
T3+4M,1,0,0,1,0,0,1,20211212,20221210
T3+4U,1,0,0,1,1,0,1,20211212,20221210
T3+5I,0,0,0,1,0,0,1,20211212,20221210
T3+5O,0,0,0,1,0,0,1,20211212,20221210
T3+5P,0,0,0,0,0,0,1,20211212,20221210
T3+5W,0,0,0,0,0,0,1,20211212,20221210
T3+6E,1,0,0,1,1,0,1,20211212,20221210
T3+6H,0,0,0,0,0,0,1,20211212,20221210
T3+6Y,0,0,0,0,0,0,1,20211212,20221210
T3+7D,0,0,0,0,0,0,1,20211212,20221210
T3+7I,0,0,0,0,0,0,1,20211212,20221210
T3+8L,1,0,0,1,1,0,1,20211212,20221210
T3+9m,0,0,0,1,0,1,1,20211212,20221210
T3+9x,0,0,0,0,1,0,0,20211212,20221210
