service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,1,1,1,1,1,0,0,20211212,20221210
T0+2x,1,1,1,1,0,0,0,20211212,20221210
T0+3g,0,0,0,0,1,0,0,20211212,20221210
T0+3s,0,0,0,0,1,0,0,20211212,20221210
T0+3u,1,1,1,1,1,0,0,20211212,20221210
T0+3v,0,0,0,0,1,0,0,20211212,20221210
T0+3w,1,1,1,1,1,0,0,20211212,20221210
T0+3x,1,1,1,1,1,0,0,20211212,20221210
T0+3y,1,1,1,1,1,0,0,20211212,20221210
T0+4u,1,1,1,1,1,0,0,20211212,20221210
T0+6h,1,1,1,1,1,0,0,20211212,20221210
T0+6q,1,1,1,1,1,0,0,20211212,20221210
T0+6s,1,1,1,1,1,0,0,20211212,20221210
T0+6u,1,1,1,1,1,0,0,20211212,20221210
T0+6w,1,1,1,1,1,0,0,20211212,20221210
T0+6x,1,1,1,1,1,0,0,20211212,20221210
T0+6y,1,1,1,1,1,0,0,20211212,20221210
T0+6z,1,1,1,1,1,0,0,20211212,20221210
T0+7a,1,1,1,1,1,0,0,20211212,20221210
T0+7b,1,1,1,1,1,0,0,20211212,20221210
T0+7c,1,1,1,1,1,0,0,20211212,20221210
T0+7d,1,1,1,1,1,0,0,20211212,20221210
T0+7i,1,1,1,1,1,0,0,20211212,20221210
T0+7j,1,1,1,1,1,0,0,20211212,20221210
T0+7k,1,1,1,1,1,0,0,20211212,20221210
T0+7p,1,1,1,1,1,0,0,20211212,20221210
T0+7s,1,1,1,1,1,0,0,20211212,20221210
T0+7t,1,1,1,1,0,0,0,20211212,20221210
T0+7w,1,1,1,1,0,0,0,20211212,20221210
T0+7x,0,0,0,0,1,0,0,20211212,20221210
T0+7y,0,0,0,0,1,0,0,20211212,20221210
T0+8a,1,1,1,1,0,0,0,20211212,20221210
T0+8b,1,1,1,1,0,0,0,20211212,20221210
T0+8c,0,0,0,0,1,0,0,20211212,20221210
T0+8e,1,1,1,1,1,0,0,20211212,20221210
T0+8m,1,1,1,1,1,0,0,20211212,20221210
T0+8v,1,1,1,1,1,0,0,20211212,20221210
T0+s,1,1,1,1,1,0,0,20211212,20221210
T0+sf,1,1,1,1,1,0,0,20211212,20221210
T2,0,0,0,0,0,1,0,20211212,20221210
T2+6k,0,0,0,0,0,1,0,20211212,20221210
T2+6l,0,0,0,0,0,1,0,20211212,20221210
T2+6m,0,0,0,0,0,1,0,20211212,20221210
T2+7e,0,0,0,0,0,1,0,20211212,20221210
T2+7m,0,0,0,0,0,1,0,20211212,20221210
T3,0,0,0,0,0,0,1,20211212,20221210
T3+6e,0,0,0,0,0,0,1,20211212,20221210
T3+6n,0,0,0,0,0,0,1,20211212,20221210
T3+6p,0,0,0,0,0,0,1,20211212,20221210
T3+7f,0,0,0,0,0,1,1,20211212,20221210
T3+7g,0,0,0,0,0,0,1,20211212,20221210
T3+7q,0,0,0,0,0,1,1,20211212,20221210
T3+7v,0,0,0,0,0,0,1,20211212,20221210
T3+7z,0,0,0,0,0,0,1,20211212,20221210
