route_id,service_id,trip_id,trip_headsign,direction_id
"10-10-I-j22-1","T2","10.T2.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","100.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T2","102.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T3","102.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","104.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0","105.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","105.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","106.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T2","108.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T3","108.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","110.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0","111.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","111.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","112.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T2","114.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T3","114.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","116.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0","117.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","117.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","118.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0+3w","12.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","12.T2.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","12.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","120.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T3","120.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","122.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0","123.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","123.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","124.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T2","126.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T3","126.T3.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T2","128.T2.10-10-I-j22-1.6.H","","0"
"10-10-I-j22-1","T0","129.T0.10-10-I-j22-1.3.R","","1"
"10-10-I-j22-1","T3","129.T3.10-10-I-j22-1.3.R","","1"
