route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10-46-I-j22-1,T0+3g,1.T0.10-46-I-j22-1.2.H,,,0,,shp_3_67,0,0
10-21-I-j22-1,T2+6m,1.T2.10-21-I-j22-1.5.R,,,1,,shp_3_101,0,0
10-46-I-j22-1,T2+6k,1.T2.10-46-I-j22-1.2.H,,,0,,shp_3_67,0,0
11-2-I-j22-1,T2+6m,1.T2.11-2-I-j22-1.1.R,,,1,,shp_0_52,0,0
11-4-I-j22-1,T2+6m,1.T2.11-4-I-j22-1.5.R,,,1,,shp_0_54,0,0
13-15-I-j22-1,T2+6m,1.T2.13-15-I-j22-1.1.R,,,1,,shp_3_195,0,0
13-21-I-j22-1,T2+6k,1.T2.13-21-I-j22-1.2.R,,,1,,shp_3_13,0,0
10-15-I-j22-1,T3+6p,1.T3.10-15-I-j22-1.11.R,,,1,,shp_3_195,0,0
10-21-I-j22-1,T3+6p,1.T3.10-21-I-j22-1.5.R,,,1,,shp_3_101,0,0
10-34-I-j22-1,T3+6n,1.T3.10-34-I-j22-1.1.R,,,1,,shp_3_54,0,0
11-4-I-j22-1,T3+6p,1.T3.11-4-I-j22-1.5.R,,,1,,shp_0_54,0,0
13-15-I-j22-1,T3+7z,1.T3.13-15-I-j22-1.1.R,,,1,,shp_3_195,0,0
10-10-I-j22-1,T0,10.T0.10-10-I-j22-1.4.R,,,1,,shp_3_140,0,0
10-15-I-j22-1,T0+s,10.T0.10-15-I-j22-1.7.R,,,1,,shp_3_28,0,0
11-4-I-j22-1,T0+6w,10.T0.11-4-I-j22-1.7.R,,,1,,shp_0_40,0,0
13-16-I-j22-1,T0+3w,10.T0.13-16-I-j22-1.2.R,,,1,,shp_3_196,0,0
13-21-I-j22-1,T0+6s,10.T0.13-21-I-j22-1.2.R,,,1,,shp_3_13,0,0
13-24-I-j22-1,T0+3w,10.T0.13-24-I-j22-1.2.R,,,1,,shp_3_37,0,0
13-241-I-j22-1,T0+3w,10.T0.13-241-I-j22-1.3.R,,,1,,shp_3_238,0,0
13-25-I-j22-1,T0+3w,10.T0.13-25-I-j22-1.2.R,,,1,,shp_3_41,0,0
13-31-I-j22-1,T0+3w,10.T0.13-31-I-j22-1.1.R,,,1,,shp_3_193,0,0
13-32-I-j22-1,T0+3w,10.T0.13-32-I-j22-1.1.R,,,1,,shp_3_31,0,0
14-21-I-j22-1,T0,10.T0.14-21-I-j22-1.4.R,,,1,,shp_3_12,0,0
10-21-I-j22-1,T2+7e,10.T2.10-21-I-j22-1.8.R,,,1,,shp_3_13,0,0
11-2-I-j22-1,T2+6m,10.T2.11-2-I-j22-1.3.R,,,1,,shp_0_28,0,0
11-4-I-j22-1,T2+6m,10.T2.11-4-I-j22-1.7.R,,,1,,shp_0_40,0,0
13-15-I-j22-1,T2+6m,10.T2.13-15-I-j22-1.1.R,,,1,,shp_3_195,0,0
13-21-I-j22-1,T2+6k,10.T2.13-21-I-j22-1.2.R,,,1,,shp_3_13,0,0
14-18-I-j22-1,T2,10.T2.14-18-I-j22-1.3.R,,,1,,shp_3_84,0,0
14-21-I-j22-1,T2,10.T2.14-21-I-j22-1.5.R,,,1,,shp_3_14,0,0
10-15-I-j22-1,T3+6p,10.T3.10-15-I-j22-1.13.H,,,0,,shp_3_32,0,0
11-1-I-j22-1,T3,10.T3.11-1-I-j22-1.4.R,,,1,,shp_0_59,0,0
11-4-I-j22-1,T3+6p,10.T3.11-4-I-j22-1.5.R,,,1,,shp_0_54,0,0
11-5-I-j22-1,T3,10.T3.11-5-I-j22-1.8.R,,,1,,shp_0_17,0,0
13-15-I-j22-1,T3+7z,10.T3.13-15-I-j22-1.1.R,,,1,,shp_3_195,0,0
13-31-I-j22-1,T3,10.T3.13-31-I-j22-1.3.R,,,1,,shp_3_8,0,0
13-32-I-j22-1,T3,10.T3.13-32-I-j22-1.1.R,,,1,,shp_3_31,0,0
13-33-I-j22-1,T3,10.T3.13-33-I-j22-1.4.R,,,1,,shp_3_227,0,0
13-34-I-j22-1,T3,10.T3.13-34-I-j22-1.2.R,,,1,,shp_3_54,0,0
